iter	Passed	Remaining
0	1	87
1	3	79
2	4	75
3	6	73
4	7	71
5	9	68
6	10	67
7	12	65
8	14	63
9	15	62
10	17	60
11	18	58
12	20	56
13	21	56
14	23	55
15	25	53
16	26	52
17	28	50
18	29	48
19	31	46
20	32	45
21	34	44
22	36	42
23	37	41
24	39	39
25	40	37
26	42	36
27	43	34
28	45	32
29	46	31
30	48	29
31	49	28
32	51	26
33	53	24
34	54	23
35	56	21
36	57	20
37	59	18
38	60	17
39	62	15
40	63	13
41	65	12
42	66	10
43	67	9
44	69	7
45	70	6
46	72	4
47	73	3
48	75	1
49	76	0
